building_name_en,mean,count,std,ci95_hi,ci95_lo
Fortune Executive Tower,7526.18,350,2899.65,7829.96,7222.39
IMPERIAL RESIDENCE 2,10341.6,350,3074.69,10663.72,10019.47
Marina Apartments 4,12715.66,350,3747.66,13108.29,12323.03
Vida Dubai Mall Tower 1,27013.98,350,2827.93,27310.26,26717.71
MARINA DIAMOND - A,8539.71,350,6024.57,9170.88,7908.53
LIVA,13458.14,349,1154.15,13579.23,13337.05
PARK HEIGHTS II T1,24015.41,349,34848.11,27671.54,20359.27
LE SOLARIUM,7469.49,348,2493.81,7731.5,7207.47
METRO TOWER,9612.73,347,876.89,9704.99,9520.46
B2B,14445.42,347,9521.82,15447.29,13443.55
THE DISTINCTION,26272.71,347,11513.92,27484.19,25061.24
THE ONE,35615.51,347,5848.55,36230.88,35000.13
CENTRIUM TOWER 1,8376.8,347,2580.23,8648.29,8105.31
CLAYTON RESIDENCY,13607.44,347,3313.8,13956.12,13258.77
U-BORA TOWER 1,12054.1,346,3041.83,12374.62,11733.59
GR Turia,10892.81,345,3683.04,11281.46,10504.17
Sobha Hartland One Park Avenue,16235.91,343,1825.89,16429.14,16042.67
SKY BAY HOTEL,38775.31,342,6325.32,39445.7,38104.93
Al Waleed Paradise,10513.14,341,2990.33,10830.54,10195.75
LEVANTO BY ORO24,13668.8,340,823.2,13756.3,13581.3
AL SEEF 1,7136.35,339,3821.22,7543.13,6729.57
MARINA DIAMOND 5 (A),10214.63,338,2891.85,10522.93,9906.33
Prime Residence 1,7400.25,338,1839.02,7596.31,7204.2
BINGHATTI APARTMENTS,8112.92,338,2072.25,8333.85,7892.0
HERA TOWER,8226.22,337,2038.9,8443.91,8008.53
Business Tower,12500.32,337,4965.5,13030.48,11970.17
MARINA DIAMOND 6 (A),10681.71,336,3832.79,11091.54,10271.88
Belgravia,9062.54,336,1779.09,9252.77,8872.31
LIWA HEIGHTS 1,8015.21,336,5082.57,8558.68,7471.75
Address Fountain Views Hotel,30488.45,336,11916.8,31762.67,29214.22
EUROPEAN,10805.62,336,16995.94,12622.94,8988.3
